road,id,model_type,condition,name,lat,lon,length
N1,1001775,link,,Box culvert,21.1372219,92.1708882,0.09199999999998454
N1,1001776,link,,Box culvert,21.1371108,92.1727771,0.19999999999998863
N1,1001777,link,,Bridge start,21.1368886,92.173916,0.12000000000000455
N1,1001778,link,,Bridge end,21.1367219,92.1741382,0.03000000000002956
N1,1001779,bridge,B,KHARA KANDI RCC GIDER BRIDGE,21.1366125359375,92.1745027796875,0.04199999999997317
N1,1001780,bridge,C,Porbo Kata Khali Bridge,21.1366125359375,92.1745027796875,0.0
N1,1001781,link,,Info.Missing,21.1363886,92.1752493,0.08600000000001273
N1,1001782,link,,Box culvert,21.1363608,92.1755549,0.031999999999982265
N1,1001783,bridge,A,ULUBANIA RCC GIDER BRIDGE,21.1360412976525,92.1760569938967,0.06999999999999318
N1,1001784,link,,Box culvert,21.1353886,92.1770827,0.1430000000000291
N1,1001785,bridge,C,ULIBANIA BOX CULVERT,21.1349149157894,92.1779379605263,0.1169999999999618
N1,1001786,bridge,A,DMONIR GONA RCC GIDER BRIDGE,21.1342388024291,92.179158717004,0.16700000000003
N1,1001787,link,,Bridge start,21.1333886,92.1806938,0.20999999999997954
N1,1001788,link,,Bridge end,21.1333608,92.1808327,0.016999999999995907
N1,1001789,link,,Box culvert,21.1329438,92.1824438,0.17600000000004457
N1,1001790,link,,Info.Missing,21.1326938,92.183333,0.09699999999997999
N1,1001791,link,,Box culvert,21.1319716,92.1846108,0.15999999999996817
N1,1001792,bridge,B,BALUR KHALI -(1) RCC GIDER BRIDGE,21.1318968873563,92.1846917362069,0.013000000000033651
N1,1001793,link,,Box culvert,21.1309716,92.1856941,0.16100000000000136
N1,1001794,bridge,C,BALU KHALI -2 BOX CULVERT,21.1299737216216,92.1868158522522,0.16499999999996362
N1,1001795,bridge,B,BALU KHALI-3 BOX CULVERT,21.1297680981982,92.1870470012012,0.03400000000004866
N1,1001796,bridge,D,Balu Khali Bridge,21.1297680981982,92.1870470012012,0.0
N1,1001797,bridge,A,W HIME KANG BOX CULVERT,21.1290060819819,92.187903612012,0.12599999999997635
N1,1001798,bridge,A,WHIKE KANG BOX CULVERT,21.1283226864864,92.1886718423423,0.11299999999999955
N1,1001799,bridge,B,WHIKE KANG BOX CULVERT,21.1278570099099,92.1891953267267,0.07699999999999818
N1,1001800,link,,Km post missing,21.1269438,92.1902219,0.15100000000001046
N1,1001801,link,,Box culvert,21.1268327,92.1902774,0.012000000000000455
N1,1001802,bridge,A,wheke kang (1),21.125103688724,92.1913674700296,0.22800000000000864
N1,1001803,bridge,D,Wheke Kang Bridge,21.125103688724,92.1913674700296,0.0
N1,1001804,link,,Box culvert,21.1242771,92.1918886,0.10899999999998045
N1,1001805,link,,Box culvert,21.1239993,92.1919997,0.04099999999999682
N1,1001806,bridge,A,WHIKE KANG BRIDGE,21.1237604940298,92.1921588880597,0.031999999999982265
N1,1001807,link,,Box culvert,21.1229993,92.1926663,0.10200000000003229
N1,1001808,bridge,C,MOA EX-KANG-BAZAR,21.1229108079646,92.1927223495575,0.012000000000000455
N1,1001809,bridge,C,Moa Ex Kang Bridge,21.1229108079646,92.1927223495575,0.0
N1,1001810,bridge,A,HOA EX KANG BAZAE,21.1225347168141,92.1929605601769,0.05099999999998772
N1,1001811,link,,Box culvert,21.122166,92.1931941,0.05000000000001137
N1,1001812,bridge,B,Hoacx Kang Barbar Bridge,21.1215698917647,92.1935169658823,0.07600000000002183
N1,1001813,bridge,C,HOACX KANG BARAR,21.1215698917647,92.1935169658823,0.0
N1,1001814,link,,Box culvert,21.1214993,92.1935552,0.008999999999957708
N1,1001815,link,,Info.Missing,21.1198604,92.1954719,0.28300000000001546
N1,1001816,link,,Box culvert,21.1190827,92.1960274,0.11099999999999
N1,1001817,bridge,A,AMTULI BOX CULVERT,21.1184609383419,92.1962922290155,0.07999999999998408
N1,1001818,link,,Box culvert,21.1175827,92.1966663,0.11299999999999955
N1,1001819,link,,Box culvert,21.1165,92.1969163,0.12700000000000955
N1,1001820,link,,Box culvert,21.1161389,92.1969997,0.051000000000044565
N1,1001821,bridge,A,TASSI-PARA BAR,21.1159743461538,92.1970744923076,0.020999999999958163
N1,1001822,link,,Z1133 Road to Shaplapur,21.1158333,92.1971386,0.018000000000029104
N1,1001823,link,,Bridge start,21.1151667,92.1975552,0.08699999999998909
N1,1001824,link,,Bridge end,21.1146111,92.1979719,0.07799999999997453
N1,1001825,bridge,B,TAS SE BRIDGE HOANGK,21.1145580496021,92.1980208315649,0.008000000000038199
N1,1001826,bridge,D,Tasse Bridge,21.1145580496021,92.1980208315649,0.0
N1,1001827,link,,Info.Missing,21.1121111,92.2002778,0.36899999999997135
N1,1001828,bridge,A,LAMBA-BIL PORA,21.1118930148936,92.2005928021276,0.04099999999999682
N1,1001829,link,,Box culvert,21.1118611,92.2006389,0.006000000000028649
N1,1001830,bridge,A,LAMBABIL MIDDLE PARA,21.1108101507936,92.2020956942857,0.117999999999995
N1,1001831,bridge,A,LAMBABIL MIDDLE,21.1098838904761,92.2033796485714,0.103999999999985
N1,1001832,link,,Box culvert,21.1090556,92.2045278,0.09300000000001774
N1,1001833,bridge,A,LAMBA - BIL - (1) BOX CULVERT,21.108771344186,92.2048378697674,0.0999999999999659
N1,1001834,bridge,A,LAM BA BIL (2) BOX CULVERT,21.1083165348837,92.2053339813953,0.160000000000025
N1,1001835,link,,Box culvert,21.1078333,92.2058611,0.17000000000001592
N1,1001836,bridge,A,LAMBA BIL (3) BOX CULVERT,21.1078333,92.2061073045454,0.04499999999995907
N1,1001837,link,,Box culvert,21.1078333,92.2069444,0.15300000000002
N1,1001838,link,,Km post broken,21.1058333,92.20725,0.06999999999999318
N1,1001839,link,,Box culvert,21.1053611,92.2073889,0.06400000000002137
N1,1001840,bridge,C,LAMBA BIL BOX,21.1052944333333,92.20739816,0.007999999999981355
N1,1001841,link,,Box culvert,21.1043611,92.2075278,0.11200000000002319
N1,1001842,link,,Box culvert,21.1026389,92.2077778,0.20699999999999363
N1,1001843,bridge,A,UNCHI - PRANG BRIDGE,21.1020295703488,92.2079394552325,0.07699999999999818
N1,1001844,bridge,C,Unchi-Prong Bridge,21.1020295703488,92.2079394552325,0.0
N1,1001845,link,,Box culvert,21.1012778,92.2081389,0.09499999999997044
N1,1001846,bridge,A,ON SIFAPAING BOX CULVERT,21.1005774145454,92.208578050909,0.09399999999999409
N1,1001847,link,,Box culvert,21.0996386,92.2091667,0.1260000000000332
N1,1001848,bridge,A,UNCHING OPLONG CULVERT (1),21.0988710315789,92.2096579157894,0.10500000000001819
N1,1001849,link,,Info.Missing,21.0975552,92.2105,0.17999999999994998
N1,1001850,link,,Box culvert,21.097333,92.2106111,0.02800000000002001
N1,1001851,bridge,A,KUTUB DIA PARA (1) CULVERT,21.0950312659147,92.2114600974937,0.271000000000015
N1,1001852,bridge,A,KUTUB DIA PARA CULVERT,21.0944452155388,92.2116762629072,0.06900000000001683
N1,1001853,link,,Bridge start,21.0939441,92.2118611,0.05899999999996908
N1,1001854,link,,Bridge end,21.0936663,92.2119444,0.036000000000001364
N1,1001855,bridge,A,KUTUB - DIA PARA (3),21.0923827310126,92.2123111474683,0.1490000000000009
N1,1001856,link,,Box culvert,21.0923052,92.2123333,0.009000000000014552
N1,1001857,bridge,A,KANGOR PARA,21.0905260238297,92.2128845902127,0.21199999999998909
N1,1001858,link,,Box culvert,21.090333,92.2129444,0.023000000000024556
N1,1001859,link,,Km post missing,21.0891941,92.2135,0.1439999999999486
N1,1001860,bridge,A,KANGOR PARA MOZGID,21.088867034104,92.213695567052,0.04200000000003001
N1,1001861,bridge,A,KHAN GIOR PARA (1),21.0869591497109,92.2148363748555,0.24500000000000455
N1,1001862,link,,Box culvert,21.0864997,92.2151111,0.05899999999996908
N1,1001863,bridge,A,KHANGOR PRAMARY (2),21.0864997,92.2151111,0.0
N1,1001864,link,,Box culvert,21.0859441,92.2153889,0.06800000000004047
N1,1001865,bridge,A,Khan Gor Para Bridge,21.0844125039525,92.2159198454545,0.18599999999997863
N1,1001866,bridge,B,KHAN GOR PARA BRIDGE,21.0844125039525,92.2159198454545,0.0
N1,1001867,link,,Box culvert / Box culvert,21.0838608,92.2161111,0.06700000000000728
N1,1001868,bridge,A,RHANCHOR PARA BOX CULVERT,21.0822419459459,92.2166012177177,0.19599999999996953
N1,1001869,link,,Km post missing,21.0811104,92.2169438,0.13700000000000045
N1,1001870,bridge,A,KHANCHOR PARA (2),21.0804429857142,92.2174040714285,0.08700000000004593
N1,1001871,link,,Box culvert,21.0803049,92.2174993,0.01799999999997226
N1,1001872,bridge,A,KHANCHOR PARA- BOX CULVERT,21.079224345977,92.2181232950191,0.1430000000000291
